,eng,part,mean
424,agility,noun,The quality of being agile; the power of moving the limbs quickly and easily; quickness of motion
425,agin,adverb,Another time; once more.
426,aging,verb,To cause to grow old; to impart the characteristics of age to.
427,agitate,verb,To disturb or excite; to perturb or stir up (a person).
428,agitated,verb,To disturb or excite; to perturb or stir up (a person).
429,agitation,noun,"The act of agitating, or the state of being agitated; the state of being moved with violence, or with irregular action; commotion."
430,agitators,noun,"One who agitates; one who stirs up or excites others, for example political reformers."
431,ago,adjective,Gone; gone by; gone away; passed; passed away.
432,agonized,verb,To writhe with agony; to suffer violent anguish.
433,agonizing,verb,To writhe with agony; to suffer violent anguish.
434,agony,noun,Extreme pain.
435,agree,verb,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur."
436,agreeable,noun,Something pleasing; anything that is agreeable.
437,agreed,verb,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur."
438,agreeing,verb,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur."
439,agreement,noun,An understanding between entities to follow a specific course of conduct.
440,agreements,noun,An understanding between entities to follow a specific course of conduct.
441,agrees,verb,"To harmonize in opinion, statement, or action; to be in unison or concord; to be or become united or consistent; to concur."
442,agricultural,noun,A product or commodity from agriculture.
443,aground,adjective,(of a normally floating craft) Resting on the bottom.
444,aha,interjection,"An exclamation of understanding, realization, invention, or recognition."
445,ahead,adverb,In or to the front; in advance; onward.
446,ahem,noun,"A use of the interjection, ahem."
447,ahoy,noun,An utterance of this interjection.
448,aid,noun,"Help; assistance; succor, relief."
449,aide,noun,An assistant.
450,aided,verb,To provide support to; to further the progress of; to help; to assist.
451,aides,noun,An assistant.
452,aiding,verb,To provide support to; to further the progress of; to help; to assist.
453,aids,noun,"Help; assistance; succor, relief."
454,ail,noun,An ailment; trouble; illness.
455,ailing,verb,"To cause to suffer; to trouble, afflict. (Now chiefly in interrogative or indefinite constructions.)"
456,ailment,noun,Something which ails one; a disease; sickness.
457,ailments,noun,Something which ails one; a disease; sickness.
458,ails,noun,An ailment; trouble; illness.
459,aim,noun,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it."
460,aimed,verb,"To point or direct a missile, or a weapon which propels as missile, towards an object or spot with the intent of hitting it"
461,aiming,verb,"To point or direct a missile, or a weapon which propels as missile, towards an object or spot with the intent of hitting it"
462,aimless,adjective,"Without aim, purpose, or direction."
463,aimlessly,adverb,"Without an aim, purpose or direction; in an aimless manner."
464,aims,noun,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it."
465,air,noun,"The substance constituting earth's atmosphere, particularly:"
466,airborne,noun,Military infantry intended to be transported by air and delivered to the battlefield by parachute or helicopter.
467,aircraft,noun,"A vehicle capable of atmospheric flight due to interaction with the air, such as buoyancy or lift"
468,airfield,noun,"An open field designated for the taking off and landing of aircraft, but which, unlike an airport, does not necessarily have terminals or paved runways."
469,airhead,noun,A horizontal channel providing ventilation in a mine.
470,airing,verb,"To bring (something) into contact with the air, so as to freshen or dry it."
471,airlift,noun,"The transportation of troops, civilians or supplies by air, especially in an emergency."
472,airlifted,verb,To transport (troops etc) in an airlift.
473,airline,noun,A company that flies airplanes to transport people and goods.
474,airlines,noun,A company that flies airplanes to transport people and goods.
475,airman,noun,A pilot of an aircraft.
476,airmen,noun,A pilot of an aircraft.
477,airplane,noun,A powered heavier-than-air aircraft with fixed wings.
478,airplanes,noun,A powered heavier-than-air aircraft with fixed wings.
479,airport,noun,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals."
480,airports,noun,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals."
481,airs,noun,"The substance constituting earth's atmosphere, particularly:"
482,airspace,noun,"A specified portion of the atmosphere, especially that under the technical aviation control and/or jurisdiction of a particular state over which territory (and territorial waters) it lies."
483,airstrip,noun,"An aircraft landing field, usually with one runway and only basic facilities."
484,airtight,adjective,Impermeable to air or other gases.
485,airwaves,noun,"Radio-frequency electromagnetic waves, usually used in the context of wireless communication; radio waves."
486,airway,noun,The trachea.
487,airways,noun,The trachea.
488,aisle,noun,"A wing of a building, notably in a church separated from the nave proper by piers."
489,aisles,noun,"A wing of a building, notably in a church separated from the nave proper by piers."
490,ajar,verb,To turn or open slightly; to become ajar or to cause to become ajar; to be or to hang ajar.
491,ala,noun,A wing or winglike structure.
492,alabaster,noun,"A fine-grained white or lightly-tinted variety of gypsum, used ornamentally."
493,alameda,noun,A tree-lined avenue in Spain or Portugal.
494,alarm,noun,"A summons to arms, as on the approach of an enemy."
495,alarmed,verb,To call to arms for defense
496,alarming,verb,To call to arms for defense
497,alarmist,noun,One who causes others to become alarmed without cause.
498,alarms,noun,"A summons to arms, as on the approach of an enemy."
499,alas,interjection,"Used to express sorrow, regret, compassion or grief."
500,albacore,noun,"A large marine fish Thunnus alalunga of warm seas, having edible flesh."
501,albatross,noun,Any of various large seabirds of the family Diomedeidae ranging widely in the Southern Ocean and the North Pacific and having a hooked beak and long narrow wings.
502,albino,noun,"A person or animal congenitally lacking melanin pigmentation in the skin, eyes, and hair or feathers (or more rarely only in the eyes); one born with albinism."
